metric,GHOcbBTCETH,USDCwBTCETH,USDTwBTCETH
Total Data Points,242,243,243
Correlation,1.000000,1.000000,1.000000
Average Price Difference (%),0.0000,0.0000,0.0000
Max Price Difference (%),0.0000,0.0000,0.0000
Min Price Difference (%),0.0000,0.0000,0.0000
Standard Deviation (Absolute),0.000000,0.000000,0.000000
Standard Deviation (%),0.0000,0.0000,0.0000
Tracking Error,0.000000,0.000000,0.000000
StakeDAO Volatility (%),2.392688,2.354748,2.375689
Curve Volatility (%),2.392688,2.354748,2.375689
Information Ratio,0.000000,0.000000,0.000000
Max Drawdown (%),0.103563,0.106088,0.102448
Median Absolute Deviation,0.000000,0.000000,0.000000
StakeDAO Higher (%),0.00,0.00,0.00
StakeDAO Lower (%),0.00,0.00,0.00
Prices Equal (%),100.00,100.00,100.00
